title,nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,month,director,producer,composer,cast
Raju Gari Gadhi 2,4.72,2.4,1.7,1.15,0.72,1.16,1.36,0.48,16.67,October,Omkar,"Matinee Entertainments, Oak Entertainments, PVP Cinema",S. Thaman,"Samantha Ruth Prabhu, Nagarjuna Akkineni, Vennela Kishore, Tejaswi Madivada, Rao Ramesh"
Rakshasudu,4.25,1.7,2.05,0.95,0.7,0.98,0.86,0.36,13.3,August,Ramesh Varma,A Studios,Ghibran,"Sai Srinivas Bellamkonda, Anupama Parameswaran, Saravanan, Ammu Abhirami, Rajeev Kanakala"
Rangasthalam,27.6,17.4,13.25,3.2,6.35,7.17,8.5,3.48,122.37,March,Sukumar,Mythri Movie Makers,Devi Sri Prasad,"Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu, V.K. Naresh"
Rangde,3.79,1.4,1.24,0.86,0.59,0.53,0.88,0.44,11.19,March,Venky Atluri,Sithara Entertainments,Devi Sri Prasad,"Nithiin, Keerthy Suresh, V.K. Naresh, Kousalya, Rohini"
Rarandoy Veduka Choodam,9.05,2.85,3.65,2.01,1.32,1.72,1.8,0.68,27.19,May,Kalyan Krishna,Annapurna Studios,Devi Sri Prasad,"Avantika, Rakul Preet Singh, Naga Chaitanya Akkineni, Vennela Kishore, Jagapathi Babu"
RRR,111.65,46.05,35.9,15.95,13.25,14.7,18.15,9.25,616.95,March,S.S. Rajamouli,DVV Entertainment,M.M. Keeravani,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris"
RX100,5.4,1.4,1.6,0.9,0.7,0.7,0.7,0.28,12.83,July,Ajay Bhupathi,"Karthikeya Creative Works, Mango Music",Chaitan Bharadwaj,"Kartikeya Gummakonda, Payal Rajput, Ramki, Rao Ramesh, Karan"
Sahasam Swasaga Sagipo,2.7,0.86,0.7,0.4,0.27,0.47,0.46,0.24,8.38,November,Gautham Vasudev Menon,"Dwaraka Creations, Ondraga Entertainment",A.R. Rahman,"Naga Chaitanya Akkineni, Manjima Mohan, Baba Sehgal, Rakendu Mouli, Daniel Balaji"
Salaar Part 1,60.95,20.6,14.42,9.16,6.2,6.4,7.95,4.02,306.5,December,Prashanth Neel,Hombale Films,Ravi Basrur,"Prabhas, Karthikeya Dev, Prithviraj Sukumaran, Shruti Haasan, Jagapathi Babu"
Sardaar Gabbar Singh,12.05,8.45,4.35,3.8,3.86,2.96,3.97,1.73,52.2,April,Bobby Kolli,"North Star Entertainments, Northstar Entertainment, Pawan Kalyan Creative Works",Devi Sri Prasad,"Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar, Sanjjanaa Galrani, Brahmanandam"
Sarileru Neekevaru,34,15.3,19.63,10.8,7.5,7.7,10,4.05,132.4,January,Anil Ravipudi,"AK Entertainments, G. Mahesh Babu Entertainment, Sri Venkateswara Creations",Devi Sri Prasad,"Mahesh Babu, Rashmika Mandanna, Vijayashanti, Rajendra Prasad, Prakash Raj"
Sarkaru Vaari Paata,30.35,11.25,12.3,7.85,5.85,5.35,7.19,3.25,103.9,May,Parasuram,"14 Reels Plus, G. Mahesh Babu Entertainment, Mythri Movie Makers",S. Thaman,"Mahesh Babu, Keerthy Suresh, Samuthirakani, Nadia Moidu"
Sarrainodu,19.12,10.73,8.05,5.15,4.52,4.08,5.37,2.32,73.37,April,Boyapati Srinu,Geetha Arts,S. Thaman,"Allu Arjun, Aadhi, Rakul Preet Singh, Catherine Tresa, Anjali"
Savyasachi,2.6,1.2,1.22,0.41,0.4,0.67,0.77,0.34,9.52,November,Chandoo Mondeti,Mythri Movie Makers,M.M. Keeravani,"Naga Chaitanya Akkineni, Madhavan, Nidhhi Agerwal, Bhoomika Chawla"
