name,date,year,director,prod,composer,cast_mem
Dilse,August,2023,"Ravi Kumar Sabbani, Mankhal Veerendra, Shanthan Gadwal","Sai Ram Creations, Sri Chaitanya Creations",JD,"Medishetti Abhinav, Sasha Singh, Vismaya Sri, Lovely N Singh, Shiva Rama Krishna, Venkatesh Kakumanu, Mankhal Veerendra"
Rajugari Kodipulao,August,2023,Shiva Kona,"Anil Moduga Films, Kona Cinema",Pravin Mani,"Shiva Kona, P. Prabhakar, Neha Deshpande, Kunal Kaushik, Prachi Thaker, Ramya Dinesh, Abhilash Bandari, Jabardasth Naveen"
Rent,August,2023,Raguvardan Reddy,,,"Shivani Sharma, Manisha Jasnani, Meka Rama Krishna, Bhel Prasad, Shiva Reddy, Vanitha Reddy, Amit Tiwari"
Prem Kumar,August,2023,Abhishek Maharshi,Sharanga Entertainments,Shyam Kasarla,"Krishna Chaitanya, Harsha Chemudu, Ajay Gadde, Nandini Gangadhara, Goutham, Hashmi, Jyothi, Sunny K, Ashok Kumar, Madhoo"
Daksha,August,2023,Vivekanada Vikranth,,Lalith Kiran,"Ayra Anu, Alekhya Gadamboina, Kota Nakshatra, Thallada Saikrishna, Aayush Tejas"
Jadoo,Aug,23,Palakonda Pavan Kumar,,,"Saarh Aachar, Srinivas Rao Dammalapati, Sanjana Naidu, Anand Nanda, Kamal Tumu, Ravi Varma"
Seetha Balakrishna,August,2023,Radhika Kanukuntla,Rm Productions,Saikrishna Gandikota,"Mahesh Machidi, Radhika Kanukuntla, Pooja Nageshwar, Sri Kumari, Siri Chandana"
01:43,August,2023,,VSS Creations,Prajwal Krish,"Chandrahas Kotla, Sara Achaar, Arjunan Nandakumar, Vimala Raman, Rahul Ravi, Chaitra Reddy"
Panchayiti,August,2023,Kaushik Medikonda,,Pranay Rajaputi,"Dayanand Reddy, Bindu Chandramouli, Gowtham Kishore, Likith Kumar, Sai Mahesh, Jabardasth Naveen, Sagar Vidya"
Ado Deyyam Katha,August,2023,Nagamani Yedidi,"Sri RRK Cine Productions, Sri Vahnisvari Creations",,
Madhilo Madhi,August,2023,Palla Prakash,,,
Skanda: The Attacker,September,2023,Boyapati Srinu,"Srinivasaa Silver Screen, Zee Studios",S. Thaman,"Ram Pothineni, Sreeleela, Saiee Manjrekar, Prince Cecil, Gautami, Indraja, Daggubati Raja, Meka Srikanth, Sharath Lohitashwa, Prithviraj"
Tantiram,October,2023,Muthyala Meher Deepak,Cinema Bandi,Ajay Arasada,"Avinash Yelandur, Srikanth Gurram, Sukanya Gadavir, Kalidindi, Dileep Kumar, Nani Kumar, Steffi Louise, Srinivasa Murthy, Shiva Prasad, Priyanka Sharma"
Ashtadigbandhanam,September,2023,Baba PR,,Jackson Vijayan,"Surya Bharath Chandra, Vijay Kandagatla, Vishika Kota, Naveen Kumar Gattu, Ranjith Narayan Kurup, Mani Patel, Roshni Rajak, Gagan Ravi, Mahesh Ravul, Viswender Reddy"
Cheater,September,2023,Barla Narayana,,Arjun Nallagoppula,"Narendra Andekar, Chandrakanth Dutta, Paras Kalnawat, Nanajee Karri, Rekha Nirosha, Gundu Raviteja"
Varevva jathagaallu,September,2023,Satya Saladi,Om Shiva Dhatha Creations,Muddiga Santosh,"Bhaskar, Robert Louis, Vemi Mamathareddy, Posani Krishna Murali, Tejomurthula Muralidhar, Priyanka Polla, Boddhani Saipawan, Ravu Sri"
Nelluri Nerajana,September,2023,Subramanyam Chigurupati,,Venkatesh Yeracharla,"Apoorva, Hari Chandra, Sammeta Gandhi, Jeeva, Aqsa Khan"
Anu,September,2023,Sundeep Gopisetty,,,"Karthik Raju, Misthi Chakraborthy, Prashant Karthi, Krishna Murali Posani, Aamani, Bheemaneni Srinivas Rao, Devi Prasad"
Thurum Khanlu,September,2023,Nakinamoni Shivakalyan,,Akhiesh Gogu,"Sreeram Nimmala, Palamuru Devaraj, Avinash Chowdary, Ishwarya Vullingala, Vijaya Palasa, Puli Seetha, Shriyanka"
